"","x"
"1","The Freelance Hellraiser"
"2","Col. Bruce Hampton and the Late Bronze Age"
"3","The Jancee Pornick Casino"
"4","Elliott Sharp`s Terraplane"
"5","Main Concept"
"6","Jessie Lee Miller"
"7","Gatto Ciliegia Contro Il Grande Freddo"
"8","Bruford"
"9","WERNER REDLICH"
"10","David Devant and His Spirit Wife"
"11","Pine Leaf Boys"
"12","ALL:MY:FAULTS"
"13","Ivan Ferreiro"
"14","Diefenbach"
"15","Jupiter Sunrise"
"16","Four Bitchin' Babes"
"17","Jeffrey & Jack Lewis"
"18","Alexandre Desplat & Aaron Zigman"
"19","Ponto De Equilíbrio"
"20","Corcobado y Manta Ray"
"21","Fire Town"
"22","Arne Zank"
"23","Loic Lantoine"
"24","Cattivi Pensieri"
"25","Stone Gossard"
"26","Povia"
"27","Pepe Kalle"
"28","Goose Creek Symphony"
"29","Stochelo Rosenberg"
"30","Mr Brown"
"31","ÄI-TIEM"
"32","Re Dinamite"
"33","Five Fingers of Funk"
"34","Cuentos Borgeanos"
"35","Charming"
"36","Classic Case"
"37","The End Will Be Kicks"
"38","Larue"
"39","Les Philippes"
"40","Jim Bob"
"41","Lord Jamar"
"42","Francisco Mário"
"43","Chuck Mangione / Don Potter"
"44","Metabass 'N' Breath"
"45","Fixer"
"46","Chocolate Weasel"
"47","Pseudo Existors"
"48","Eino Grön"
"49","Bill Laswell and Tetsu Inoue"
"50","Soul Defenders"
"51","Tribal Jam - Portrait"
"52","Commit Suicide"
"53","Fluttr Effect"
"54","Abstürzende Brieftauben"
"55","Deekline & Wizard"
"56","State Of Being"
"57","Capitol Punishment"
"58","Ghymes"
"59","Potato 5_ Laurel Aitken"
"60","Twisted Charm"
"61","Mike Griffin & The Unknown Blues Band"
"62","Chuck Durfor"
"63","Sneeze"
"64","The Feeling Good Conspiracy"
"65","Gonga"
"66","Thought Industry"
"67","Ambre & Mark Spybey"
"68","William Basinski and Richard Chartier"
"69","Nosoträsh"
"70","Frederic Galliano"
"71","Just Luis"
"72","Die Türen"
"73","The Jack Stafford Foundation"
"74","King Cobb Steelie"
"75","Teatr Teney"
"76","Bill Gaither Trio"
"77","Kristofer Åström_ Hidden Truck"
"78","Rebeca Jimenez"
"79","Jelly Roll Morton Trio"
